index,Lifted_mod_daily_weekly_value,Lifted_mod_daily_nextrefresh,Lifted_actual_daily,Lifted_actual_weekly,Lifted_actual_monthly,Week_structure_weekly_value,Week_structure_next_refresh,date,account_type,supplier_terminal_name,product_name,"('base_gallons', 'Daily')","('base_gallons', 'Monthly')","('base_gallons', 'Weekly')",daily_nextrefresh_flag,daily_weekValue_flag,"('beginning_gallons', 'Daily')","('beginning_gallons', 'Monthly')","('beginning_gallons', 'Weekly')","('en_allocation_status', 'Daily')","('en_allocation_status', 'Monthly')","('en_allocation_status', 'Weekly')","('percentage_allocation', 'Daily')","('percentage_allocation', 'Monthly')","('percentage_allocation', 'Weekly')","('alerts_ratability', 'Daily')","('alerts_ratability', 'Monthly')","('alerts_ratability', 'Weekly')","('next_refresh_date', 'Daily')","('next_refresh_date', 'Monthly')",Modified_NRD,"('next_refresh_date', 'Weekly')",sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
"2015-07-01 00:00:00",37501,37501,37501,277532,37501,w1,w1,"2015-07-01 00:00:00","PILOT TRAVEL CENTE-122194-W/S - UNB Contract","Valero - Ardmore (PBAM)","DSL - LSD/ULSD",34986,1084566,244902,0,0,41983,1301479,293882,Limited,Available,Limited,120%,120%,120%,"On Track","On Track","On Track","07/02 00:00:00 CDT","08/01 00:00:00 CDT",0,"2015-07-02 00:00:00",1,1,1,1
"2015-07-02 00:00:00",7500,7500,7500,7500,52501,w2,w2,"2015-07-02 00:00:00","PILOT TRAVEL CENTE-122194-W/S - UNB Contract","Valero - Ardmore (PBAM)","DSL - LSD/ULSD",34986,1084566,244902,0,0,41983,1301479,293882,Available,Available,Available,120%,120%,120%,"Below Trend","Below Trend","Below Trend","07/03 00:00:00 CDT","08/01 00:00:00 CDT",0,"2015-07-09 00:00:00",1,1,0,0
"2015-07-03 00:00:00",45065,45065,7500,52565,97566,w2,w2,"2015-07-03 00:00:00","PILOT TRAVEL CENTE-122194-W/S - UNB Contract","Valero - Ardmore (PBAM)","DSL - LSD/ULSD",34986,1084566,244902,1,1,41983,1301479,293882,Available,Available,Available,120%,120%,120%,"Below Trend","On Track","On Track","07/04 00:00:00 CDT","08/01 00:00:00 CDT",0,"2015-07-09 00:00:00",1,1,0,0
"2015-07-04 00:00:00",30000,30000,0,82565,127566,w2,w2,"2015-07-04 00:00:00","PILOT TRAVEL CENTE-122194-W/S - UNB Contract","Valero - Ardmore (PBAM)","DSL - LSD/ULSD",34986,1084566,244902,1,1,41983,1301479,293882,Available,Available,Available,120%,120%,120%,"Below Trend","On Track","Below Trend","07/05 00:00:00 CDT","08/01 00:00:00 CDT",0,"2015-07-09 00:00:00",1,1,0,0
"2015-07-05 00:00:00",7500,7500,0,90065,135066,w2,w2,"2015-07-05 00:00:00","PILOT TRAVEL CENTE-122194-W/S - UNB Contract","Valero - Ardmore (PBAM)","DSL - LSD/ULSD",34986,1084566,244902,1,1,41983,1301479,293882,Available,Available,Available,120%,120%,120%,"Below Trend","Below Trend","Below Trend","07/06 00:00:00 CDT","08/01 00:00:00 CDT",0,"2015-07-09 00:00:00",1,1,0,0
"2015-07-06 00:00:00",22498,22498,0,112563,157564,w2,w2,"2015-07-06 00:00:00","PILOT TRAVEL CENTE-122194-W/S - UNB Contract","Valero - Ardmore (PBAM)","DSL - LSD/ULSD",34986,1084566,244902,1,1,41983,1301479,293882,Available,Available,Available,120%,120%,120%,"Below Trend","Below Trend","Below Trend","07/07 00:00:00 CDT","08/01 00:00:00 CDT",0,"2015-07-09 00:00:00",1,1,0,0
"2015-07-07 00:00:00",86501,86501,41501,199064,244065,w2,w2,"2015-07-07 00:00:00","PILOT TRAVEL CENTE-122194-W/S - UNB Contract","Valero - Ardmore (PBAM)","DSL - LSD/ULSD",34986,1084566,244902,1,1,41983,1301479,293882,Limited,Available,Limited,120%,120%,120%,"On Track","Below Trend","Below Trend","07/08 00:00:00 CDT","08/01 00:00:00 CDT",0,"2015-07-09 00:00:00",1,1,0,0
"2015-07-08 00:00:00",15000,15000,7500,214064,259065,w2,w2,"2015-07-08 00:00:00","PILOT TRAVEL CENTE-122194-W/S - UNB Contract","Valero - Ardmore (PBAM)","DSL - LSD/ULSD",34986,1084566,244902,1,1,41983,1301479,293882,Available,Available,Limited,120%,120%,120%,"Below Trend","Below Trend","Below Trend","07/09 00:00:00 CDT","08/01 00:00:00 CDT",0,"2015-07-09 00:00:00",1,1,0,0
"2015-07-09 00:00:00",0,0,0,0,0,w3,w3,"2015-07-09 00:00:00","PILOT TRAVEL CENTE-122194-W/S - UNB Contract","Valero - Ardmore (PBAM)","DSL - LSD/ULSD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"2015-07-16 00:00:00",1,1,0,0
"2015-07-10 00:00:00",37503,37503,37503,82503,379068,w3,w3,"2015-07-10 00:00:00","PILOT TRAVEL CENTE-122194-W/S - UNB Contract","Valero - Ardmore (PBAM)","DSL - LSD/ULSD",34986,1084566,244902,0,0,41983,1301479,293882,Limited,Available,Available,120%,120%,120%,"On Track","On Track","On Track","07/11 00:00:00 CDT","08/01 00:00:00 CDT",0,"2015-07-16 00:00:00",0,0,0,0
"2015-07-11 00:00:00",22498,22498,22498,105001,401566,w3,w3,"2015-07-11 00:00:00","PILOT TRAVEL CENTE-122194-W/S - UNB Contract","Valero - Ardmore (PBAM)","DSL - LSD/ULSD",34986,1084566,244902,0,0,41983,1301479,293882,Available,Available,Available,120%,120%,120%,"Below Trend","On Track","Below Trend","07/12 00:00:00 CDT","08/01 00:00:00 CDT",0,"2015-07-16 00:00:00",0,0,0,0
"2015-07-12 00:00:00",30000,30000,30000,135001,431566,w3,w3,"2015-07-12 00:00:00","PILOT TRAVEL CENTE-122194-W/S - UNB Contract","Valero - Ardmore (PBAM)","DSL - LSD/ULSD",34986,1084566,244902,0,0,41983,1301479,293882,Limited,Available,Available,120%,120%,120%,"Below Trend","On Track","Below Trend","07/13 00:00:00 CDT","08/01 00:00:00 CDT",0,"2015-07-16 00:00:00",0,0,0,0
"2015-07-13 00:00:00",37501,37501,37501,172502,469067,w3,w3,"2015-07-13 00:00:00","PILOT TRAVEL CENTE-122194-W/S - UNB Contract","Valero - Ardmore (PBAM)","DSL - LSD/ULSD",34986,1084566,244902,0,0,41983,1301479,293882,Limited,Available,Available,120%,120%,120%,"On Track","On Track","Below Trend","07/14 00:00:00 CDT","08/01 00:00:00 CDT",0,"2015-07-16 00:00:00",0,0,0,0
"2015-07-14 00:00:00",52500,52500,45000,225002,521567,w3,w3,"2015-07-14 00:00:00","PILOT TRAVEL CENTE-122194-W/S - UNB Contract","Valero - Ardmore (PBAM)","DSL - LSD/ULSD",34986,1084566,244902,1,1,41983,1301479,293882,Out,Available,Limited,120%,120%,120%,"On Track","On Track","On Track","07/15 00:00:00 CDT","08/01 00:00:00 CDT",0,"2015-07-16 00:00:00",0,0,0,0
"2015-07-15 00:00:00",45000,45000,45000,270002,566567,w3,w3,"2015-07-15 00:00:00","PILOT TRAVEL CENTE-122194-W/S - UNB Contract","Valero - Ardmore (PBAM)","DSL - LSD/ULSD",34986,1084566,244902,0,0,41983,1301479,293882,Out,Available,Limited,120%,120%,120%,"On Track","On Track","On Track","07/16 00:00:00 CDT","08/01 00:00:00 CDT",0,"2015-07-16 00:00:00",0,0,0,0
"2015-07-16 00:00:00",45000,45000,45000,45000,611567,w4,w4,"2015-07-16 00:00:00","PILOT TRAVEL CENTE-122194-W/S - UNB Contract","Valero - Ardmore (PBAM)","DSL - LSD/ULSD",34986,1084566,244902,0,0,41983,1301479,293882,Out,Available,Available,120%,120%,120%,"On Track","On Track","On Track","07/17 00:00:00 CDT","08/01 00:00:00 CDT",0,"2015-07-23 00:00:00",1,1,0,0
"2015-07-17 00:00:00",30000,30000,30000,75000,641567,w4,w4,"2015-07-17 00:00:00","PILOT TRAVEL CENTE-122194-W/S - UNB Contract","Valero - Ardmore (PBAM)","DSL - LSD/ULSD",34986,1084566,244902,0,0,41983,1301479,293882,Limited,Available,Available,120%,120%,120%,"Below Trend","On Track","On Track","07/18 00:00:00 CDT","08/01 00:00:00 CDT",0,"2015-07-23 00:00:00",1,1,0,0
"2015-07-18 00:00:00",30000,30000,15000,105000,671567,w4,w4,"2015-07-18 00:00:00","PILOT TRAVEL CENTE-122194-W/S - UNB Contract","Valero - Ardmore (PBAM)","DSL - LSD/ULSD",34986,1084566,244902,1,1,41983,1301479,293882,Available,Available,Available,120%,120%,120%,"Below Trend","On Track","Below Trend","07/19 00:00:00 CDT","08/01 00:00:00 CDT",0,"2015-07-23 00:00:00",1,1,0,0
"2015-07-19 00:00:00",22500,22500,22500,127500,694067,w4,w4,"2015-07-19 00:00:00","PILOT TRAVEL CENTE-122194-W/S - UNB Contract","Valero - Ardmore (PBAM)","DSL - LSD/ULSD",34986,1084566,244902,0,0,41983,1301479,293882,Available,Available,Available,120%,120%,120%,"Below Trend","On Track","Below Trend","07/20 00:00:00 CDT","08/01 00:00:00 CDT",0,"2015-07-23 00:00:00",1,1,0,0
"2015-07-20 00:00:00",37501,37501,37501,165001,731568,w4,w4,"2015-07-20 00:00:00","PILOT TRAVEL CENTE-122194-W/S - UNB Contract","Valero - Ardmore (PBAM)","DSL - LSD/ULSD",34986,1084566,244902,0,0,41983,1301479,293882,Limited,Available,Available,120%,120%,120%,"On Track","On Track","Below Trend","07/21 00:00:00 CDT","08/01 00:00:00 CDT",0,"2015-07-23 00:00:00",1,1,0,0
"2015-07-21 00:00:00",52631,52631,45131,217632,784199,w4,w4,"2015-07-21 00:00:00","PILOT TRAVEL CENTE-122194-W/S - UNB Contract","Valero - Ardmore (PBAM)","DSL - LSD/ULSD",34986,1084566,244902,1,1,41983,1301479,293882,Out,Available,Limited,120%,120%,120%,"On Track","On Track","On Track","07/22 00:00:00 CDT","08/01 00:00:00 CDT",0,"2015-07-23 00:00:00",1,1,0,0
"2015-07-22 00:00:00",40510,40510,40510,258142,824709,w4,w4,"2015-07-22 00:00:00","PILOT TRAVEL CENTE-122194-W/S - UNB Contract","Valero - Ardmore (PBAM)","DSL - LSD/ULSD",34986,1084566,244902,0,0,41983,1301479,293882,Limited,Available,Limited,120%,120%,120%,"On Track","On Track","On Track","07/23 00:00:00 CDT","08/01 00:00:00 CDT",0,"2015-07-23 00:00:00",1,1,0,0
"2015-07-23 00:00:00",45000,45000,45000,45000,877209,w5,w5,"2015-07-23 00:00:00","PILOT TRAVEL CENTE-122194-W/S - UNB Contract","Valero - Ardmore (PBAM)","DSL - LSD/ULSD",34986,1084566,244902,0,0,41983,1301479,293882,Out,Available,Available,120%,120%,120%,"On Track","On Track","On Track","07/24 00:00:00 CDT","08/01 00:00:00 CDT",0,"2015-07-30 00:00:00",1,1,0,0
"2015-07-24 00:00:00",15000,15000,15000,60000,892209,w5,w5,"2015-07-24 00:00:00","PILOT TRAVEL CENTE-122194-W/S - UNB Contract","Valero - Ardmore (PBAM)","DSL - LSD/ULSD",34986,1084566,244902,0,0,41983,1301479,293882,Available,Available,Available,120%,120%,120%,"Below Trend","On Track","Below Trend","07/25 00:00:00 CDT","08/01 00:00:00 CDT",0,"2015-07-30 00:00:00",1,1,0,0
"2015-07-25 00:00:00",59982,59982,37482,119982,952191,w5,w5,"2015-07-25 00:00:00","PILOT TRAVEL CENTE-122194-W/S - UNB Contract","Valero - Ardmore (PBAM)","DSL - LSD/ULSD",34986,1084566,244902,1,1,41983,1301479,293882,Limited,Available,Available,120%,120%,120%,"On Track","On Track","On Track","07/26 00:00:00 CDT","08/01 00:00:00 CDT",0,"2015-07-30 00:00:00",1,1,0,0
"2015-07-26 00:00:00",22505,22505,22505,142487,974696,w5,w5,"2015-07-26 00:00:00","PILOT TRAVEL CENTE-122194-W/S - UNB Contract","Valero - Ardmore (PBAM)","DSL - LSD/ULSD",34986,1084566,244902,0,0,41983,1301479,293882,Available,Available,Available,120%,120%,120%,"Below Trend","On Track","On Track","07/27 00:00:00 CDT","08/01 00:00:00 CDT",0,"2015-07-30 00:00:00",1,1,0,0
"2015-07-27 00:00:00",30000,30000,30000,172487,1004696,w5,w5,"2015-07-27 00:00:00","PILOT TRAVEL CENTE-122194-W/S - UNB Contract","Valero - Ardmore (PBAM)","DSL - LSD/ULSD",34986,1084566,244902,0,0,41983,1301479,293882,Limited,Available,Available,120%,120%,120%,"Below Trend","On Track","Below Trend","07/28 00:00:00 CDT","08/01 00:00:00 CDT",0,"2015-07-30 00:00:00",1,1,0,0
"2015-07-28 00:00:00",52500,52500,45000,224987,1057196,w5,w5,"2015-07-28 00:00:00","PILOT TRAVEL CENTE-122194-W/S - UNB Contract","Valero - Ardmore (PBAM)","DSL - LSD/ULSD",34986,1084566,244902,1,1,41983,1301479,293882,Out,Available,Limited,120%,120%,120%,"On Track","On Track","On Track","07/29 00:00:00 CDT","08/01 00:00:00 CDT",0,"2015-07-30 00:00:00",1,1,0,0
"2015-07-29 00:00:00",45000,45000,45000,269987,1102196,w5,w5,"2015-07-29 00:00:00","PILOT TRAVEL CENTE-122194-W/S - UNB Contract","Valero - Ardmore (PBAM)","DSL - LSD/ULSD",34986,1084566,244902,0,0,41983,1301479,293882,Out,Available,Limited,120%,120%,120%,"On Track","On Track","On Track","07/30 00:00:00 CDT","08/01 00:00:00 CDT",0,"2015-07-30 00:00:00",1,1,0,0
"2015-07-30 00:00:00",44999,44999,44999,44999,1147195,w6,w6,"2015-07-30 00:00:00","PILOT TRAVEL CENTE-122194-W/S - UNB Contract","Valero - Ardmore (PBAM)","DSL - LSD/ULSD",34986,1084566,244902,0,0,41983,1301479,293882,Out,Limited,Available,120%,120%,120%,"On Track","On Track","On Track","07/31 00:00:00 CDT","08/01 00:00:00 CDT",0,"2015-08-06 00:00:00",1,1,0,0
